42.222,49.753,-143.997,1785.801,7.104,7.666,32.353,-0.879,-2.425,NaN,387.496,1.253,1310.600,1.284,466.226,124.719,1322.751,1.284,NaN,5790.000
42.224,49.754,-144.003,1786.316,7.097,7.662,32.352,-0.881,-2.500,NaN,384.448,1.243,1300.947,1.275,462.385,123.723,1313.111,1.275,NaN,5791.000
42.225,49.756,-144.010,1786.862,7.090,7.659,32.355,-0.881,-3.256,NaN,380.500,1.230,1295.471,1.272,457.503,122.432,1307.649,1.272,NaN,5792.000
42.226,49.758,-144.016,1787.410,7.084,7.655,32.358,-0.868,-6.165,NaN,375.542,1.214,1309.920,1.294,451.430,120.879,1322.112,1.294,NaN,5793.000
42.228,49.759,-144.022,1787.948,7.080,7.652,32.360,-0.841,-5.100,NaN,382.016,1.235,1320.337,1.301,459.590,122.688,1332.544,1.301,NaN,5794.000
42.229,49.761,-144.029,1788.480,7.077,7.648,32.358,-0.888,-2.916,NaN,386.856,1.251,1312.938,1.288,465.524,124.280,1325.160,1.288,NaN,5795.000
42.231,49.762,-144.035,1788.991,7.072,7.645,32.358,-0.915,-1.948,NaN,388.194,1.255,1307.028,1.280,467.296,124.659,1319.262,1.280,NaN,5796.000
42.232,49.764,-144.041,1789.522,7.068,7.641,32.360,-0.971,-1.537,NaN,385.473,1.246,1293.573,1.265,463.815,123.598,1305.820,1.265,NaN,5797.000
42.233,49.765,-144.048,1790.071,7.072,7.639,32.361,-1.001,-5.327,NaN,376.530,1.217,1303.873,1.286,452.914,120.944,1316.131,1.286,NaN,5798.000
42.235,49.767,-144.055,1790.631,7.071,7.639,32.358,-1.074,-7.691,NaN,377.331,1.220,1333.325,1.321,453.819,121.318,1345.595,1.321,NaN,5799.000
42.236,49.769,-144.061,1791.166,7.078,7.644,32.353,-1.260,-5.715,NaN,388.402,1.255,1349.437,1.332,467.751,124.952,1361.718,1.332,NaN,5800.000
42.238,49.770,-144.067,1791.655,7.087,7.655,32.347,-1.279,0.848,NaN,402.518,1.301,1325.951,1.290,485.496,129.497,1338.244,1.290,NaN,5801.000
42.239,49.771,-144.073,1792.162,7.098,7.667,32.348,-1.259,-4.532,NaN,392.375,1.269,1350.353,1.329,473.045,126.680,1362.657,1.329,NaN,5802.000
42.240,49.773,-144.079,1792.701,7.110,7.680,32.348,-1.237,-3.587,NaN,399.512,1.292,1364.431,1.340,481.870,129.153,1376.745,1.340,NaN,5803.000
42.242,49.774,-144.085,1793.197,7.128,7.691,32.343,-1.328,0.715,NaN,409.899,1.326,1352.847,1.317,494.415,132.554,1365.170,1.317,NaN,5804.000
42.243,49.776,-144.091,1793.709,7.138,7.702,32.342,-1.412,1.974,NaN,410.894,1.330,1343.238,1.304,495.525,132.918,1355.570,1.304,NaN,5805.000
42.244,49.777,-144.097,1794.222,7.145,7.710,32.340,-1.271,0.628,NaN,401.701,1.300,1327.306,1.292,484.140,129.519,1339.648,1.292,NaN,5806.000
42.246,49.779,-144.104,1794.752,7.153,7.718,32.341,-1.195,-2.617,NaN,390.502,1.264,1324.514,1.298,470.368,126.026,1336.864,1.298,NaN,5807.000
42.247,49.780,-144.110,1795.288,7.159,7.723,32.340,-1.186,-3.527,NaN,389.273,1.261,1330.382,1.307,468.593,125.823,1342.740,1.307,NaN,5808.000
42.249,49.782,-144.116,1795.815,7.160,7.727,32.340,-1.147,0.052,NaN,392.059,1.270,1301.927,1.269,471.989,126.437,1314.293,1.269,NaN,5809.000
42.250,49.783,-144.123,1796.354,7.160,7.729,32.343,-1.056,-3.767,NaN,379.812,1.230,1300.934,1.278,457.327,122.629,1313.307,1.278,NaN,5810.000
42.251,49.785,-144.129,1796.916,7.156,7.728,32.343,-1.043,-6.099,NaN,377.504,1.222,1318.420,1.302,454.181,121.766,1330.800,1.302,NaN,5811.000
42.253,49.787,-144.136,1797.428,7.149,7.725,32.343,-1.082,-5.922,NaN,383.328,1.241,1336.444,1.319,461.290,123.700,1348.831,1.319,NaN,5812.000
42.254,49.788,-144.142,1797.933,7.142,7.720,32.342,-1.225,-7.667,NaN,390.892,1.265,1383.037,1.370,470.536,126.218,1395.431,1.370,NaN,5813.000
42.256,49.789,-144.147,1798.418,7.139,7.715,32.338,-1.448,2.616,NaN,419.484,1.358,1364.589,1.323,507.952,135.386,1376.987,1.323,NaN,5814.000
42.257,49.791,-144.153,1798.906,7.131,7.709,32.342,-1.451,0.934,NaN,413.373,1.338,1362.236,1.325,499.860,133.429,1374.639,1.325,NaN,5815.000
42.258,49.792,-144.159,1799.422,7.126,7.701,32.344,-1.364,-1.783,NaN,407.174,1.318,1371.028,1.342,491.651,131.660,1383.434,1.342,NaN,5816.000
42.260,49.794,-144.165,1799.931,7.118,7.695,32.341,-1.411,-1.278,NaN,412.541,1.335,1383.148,1.352,497.637,133.451,1395.557,1.352,NaN,5817.000
42.261,49.795,-144.171,1800.402,7.112,7.690,32.341,-1.388,0.277,NaN,418.618,1.354,1386.029,1.350,504.874,135.237,1398.441,1.350,NaN,5818.000
42.262,49.796,-144.177,1800.897,7.109,7.687,32.339,-1.437,3.001,NaN,423.131,1.369,1371.618,1.329,510.281,136.515,1384.032,1.329,NaN,5819.000
42.264,49.797,-144.183,1801.399,7.104,7.685,32.339,-1.382,3.091,NaN,413.975,1.339,1340.964,1.299,499.036,133.490,1353.378,1.299,NaN,5820.000
42.265,49.799,-144.189,1801.932,7.104,7.685,32.341,-1.317,-0.683,NaN,400.013,1.294,1334.485,1.303,482.231,129.050,1346.899,1.303,NaN,5821.000
42.267,49.800,-144.195,1802.439,7.108,7.687,32.341,-1.261,-2.198,NaN,393.458,1.273,1328.876,1.301,473.993,126.504,1341.287,1.301,NaN,5822.000
42.268,49.802,-144.202,1802.959,7.111,7.691,32.338,-1.202,-2.517,NaN,389.779,1.261,1319.942,1.293,469.183,125.391,1332.348,1.293,NaN,5823.000
42.269,49.804,-144.208,1803.486,7.120,7.695,32.338,-1.187,-5.011,NaN,384.530,1.244,1329.538,1.310,462.579,123.887,1341.937,1.310,NaN,5824.000
42.271,49.805,-144.214,1804.014,7.124,7.701,32.339,NaN,-5.401,NaN,386.639,1.251,1341.195,1.323,465.123,124.651,1353.587,1.323,NaN,5825.000
42.272,49.806,-144.220,1804.475,7.133,7.708,32.337,NaN,-2.363,NaN,398.404,1.289,1347.688,1.321,480.102,127.927,1360.069,1.321,NaN,5826.000
42.274,49.808,-144.226,1804.965,7.145,7.713,32.333,-1.252,-0.552,NaN,399.626,1.294,1332.558,1.301,481.364,128.606,1344.927,1.301,NaN,5827.000
42.275,49.809,-144.232,1805.481,7.152,7.720,32.332,-1.173,-0.883,NaN,397.901,1.288,1330.486,1.300,479.259,127.996,1342.841,1.300,NaN,5828.000
42.276,49.811,-144.238,1806.023,7.159,7.727,32.333,-1.197,-0.860,NaN,393.195,1.273,1314.855,1.284,473.383,126.736,1327.195,1.284,NaN,5829.000
42.278,49.812,-144.245,1806.554,7.164,7.736,32.333,-1.219,-0.606,NaN,387.518,1.255,1293.572,1.263,466.282,124.940,1305.897,1.263,NaN,5830.000
42.279,49.814,-144.251,1807.074,7.168,7.744,32.335,-1.206,-3.594,NaN,377.270,1.222,1290.554,1.268,453.828,121.811,1302.861,1.268,NaN,5831.000
42.281,49.816,-144.258,1807.627,7.187,7.750,32.334,-1.127,-8.096,NaN,371.812,1.205,1321.991,1.311,447.112,120.189,1334.280,1.311,NaN,5832.000
42.282,49.817,-144.264,1808.176,7.193,7.757,32.330,-1.223,-7.725,NaN,380.900,1.234,1349.936,1.338,458.588,123.204,1362.206,1.338,NaN,5833.000
42.283,49.819,-144.270,1808.666,7.197,7.764,32.327,-1.454,-1.946,NaN,399.248,1.294,1347.971,1.320,481.756,129.315,1360.222,1.320,NaN,5834.000
42.285,49.820,-144.276,1809.172,7.203,7.770,32.327,-1.537,-4.256,NaN,401.629,1.302,1382.008,1.360,484.197,130.048,1394.239,1.360,NaN,5835.000
42.286,49.822,-144.282,1809.686,7.208,7.777,32.325,-1.699,2.306,NaN,415.984,1.349,1358.332,1.318,502.441,134.272,1370.544,1.318,NaN,5836.000
42.287,49.823,-144.288,1810.156,7.208,7.782,32.325,-1.615,1.377,NaN,411.047,1.333,1351.981,1.314,496.262,132.836,1364.174,1.314,NaN,5837.000
42.289,49.824,-144.294,1810.686,7.215,7.787,32.325,-1.570,-1.426,NaN,401.116,1.301,1349.216,1.319,483.789,129.698,1361.389,1.319,NaN,5838.000
42.290,49.826,-144.300,1811.217,7.219,7.791,32.324,-1.496,0.908,NaN,402.345,1.305,1328.747,1.293,484.872,130.048,1340.901,1.293,NaN,5839.000
42.292,49.828,-144.306,1811.745,7.227,7.793,32.326,-1.438,-1.884,NaN,391.876,1.271,1323.485,1.295,471.920,126.675,1335.621,1.295,NaN,5840.000
42.293,49.830,-144.312,1812.296,7.234,7.796,32.327,-1.416,-4.124,NaN,385.409,1.250,1325.986,1.304,463.905,124.618,1338.104,1.304,NaN,5841.000
42.294,49.831,-144.319,1812.798,7.244,7.800,32.326,-1.476,-2.903,NaN,388.997,1.262,1325.101,1.300,468.062,125.715,1337.204,1.300,NaN,5842.000
42.296,49.833,-144.324,1813.312,7.253,7.804,32.324,-1.479,-2.274,NaN,387.603,1.258,1313.832,1.287,466.242,125.469,1325.924,1.287,NaN,5843.000
42.297,49.834,-144.330,1813.826,7.259,7.808,32.323,-1.444,-1.368,NaN,387.075,1.256,1302.614,1.274,465.523,125.158,1314.696,1.274,NaN,5844.000
42.299,49.836,-144.337,1814.350,7.258,7.809,32.323,-1.331,-5.269,NaN,377.192,1.224,1310.701,1.292,453.601,122.261,1322.778,1.292,NaN,5845.000
42.300,49.837,-144.343,1814.867,7.261,7.810,32.321,-1.536,-5.426,NaN,380.868,1.236,1325.102,1.307,457.982,123.277,1337.177,1.307,NaN,5846.000
42.301,49.839,-144.349,1815.380,7.260,7.808,32.319,-1.654,-1.887,NaN,389.439,1.264,1315.724,1.288,468.666,125.833,1327.799,1.288,NaN,5847.000
42.303,49.840,-144.355,1815.901,7.255,7.804,32.320,-1.598,-0.041,NaN,387.642,1.258,1290.354,1.259,466.404,125.167,1302.434,1.259,NaN,5848.000
42.304,49.842,-144.361,1816.436,7.249,7.797,32.324,-1.418,-1.923,NaN,374.475,1.215,1265.406,1.239,450.559,120.969,1277.493,1.239,NaN,5849.000
42.306,49.844,-144.367,1816.973,7.240,7.788,32.328,-1.353,-5.371,NaN,363.096,1.178,1262.219,1.245,436.638,117.253,1274.316,1.245,NaN,5850.000
42.307,49.846,-144.373,1817.492,7.227,7.779,32.331,-1.287,-8.402,NaN,357.378,1.159,1274.837,1.266,429.486,115.332,1286.946,1.266,NaN,5851.000
42.308,49.847,-144.380,1818.011,7.218,7.768,32.332,-1.287,-6.533,NaN,363.095,1.178,1274.087,1.260,436.351,117.153,1286.212,1.260,NaN,5852.000
42.310,49.849,-144.386,1818.578,7.205,7.755,32.333,-1.213,-4.287,NaN,368.056,1.193,1266.778,1.247,442.379,118.746,1278.920,1.247,NaN,5853.000
42.311,49.850,-144.392,1819.088,7.189,7.739,32.337,-1.100,-7.526,NaN,362.926,1.176,1283.477,1.272,436.065,117.036,1295.640,1.272,NaN,5854.000
42.313,49.852,-144.398,1819.584,7.168,7.720,32.339,-1.193,-5.148,NaN,370.718,1.201,1284.043,1.266,445.819,119.289,1296.228,1.266,NaN,5855.000
42.314,49.854,-144.404,1820.105,7.145,7.700,32.341,-1.263,-4.205,NaN,373.779,1.210,1283.883,1.263,449.456,120.336,1296.093,1.263,NaN,5856.000
42.315,49.855,-144.410,1820.626,7.123,7.680,32.344,-1.340,-3.234,NaN,374.259,1.211,1274.808,1.252,449.927,120.359,1287.045,1.252,NaN,5857.000
42.317,49.857,-144.416,1821.137,7.100,7.663,32.346,-1.345,-5.199,NaN,368.895,1.193,1276.749,1.259,443.440,118.580,1289.016,1.259,NaN,5858.000
42.318,49.859,-144.422,1821.653,7.078,7.647,32.349,-1.322,-9.046,NaN,369.295,1.194,1320.605,1.313,443.795,118.605,1332.903,1.313,NaN,5859.000
42.319,49.860,-144.428,1822.155,7.059,7.633,32.346,-1.321,-6.621,NaN,385.013,1.244,1347.288,1.332,464.080,124.197,1359.617,1.332,NaN,5860.000
42.321,49.861,-144.434,1822.638,7.038,7.618,32.344,-1.490,-0.284,NaN,406.053,1.312,1347.831,1.315,491.054,130.826,1360.193,1.315,NaN,5861.000
42.322,49.863,-144.440,1823.122,7.017,7.602,32.347,-1.544,0.748,NaN,407.288,1.315,1340.436,1.305,491.825,131.180,1352.828,1.305,NaN,5862.000
42.324,49.864,-144.446,1823.618,7.004,7.589,32.351,-1.545,1.019,NaN,405.674,1.309,1332.000,1.296,489.351,130.526,1344.423,1.296,NaN,5863.000
42.325,49.866,-144.452,1824.146,6.993,7.577,32.354,-1.417,-1.719,NaN,399.206,1.288,1339.257,1.311,481.155,128.419,1351.709,1.311,NaN,5864.000
42.326,49.868,-144.458,1824.654,6.984,7.567,32.355,-1.297,-0.917,NaN,398.316,1.285,1327.469,1.297,479.930,127.912,1339.949,1.297,NaN,5865.000
42.328,49.869,-144.464,1825.155,6.973,7.558,32.355,-1.425,0.544,NaN,398.204,1.284,1311.505,1.277,479.853,127.694,1324.010,1.277,NaN,5866.000
42.329,49.871,-144.469,1825.667,6.964,7.550,32.356,-1.466,-0.614,NaN,389.998,1.258,1296.034,1.265,469.755,125.117,1308.563,1.265,NaN,5867.000
42.331,49.872,-144.476,1826.183,6.964,7.545,32.356,-1.351,-1.235,NaN,381.797,1.231,1275.113,1.247,459.666,122.454,1287.664,1.247,NaN,5868.000
42.332,49.874,-144.482,1826.713,6.964,7.544,32.357,-1.224,-4.942,NaN,370.000,1.193,1273.906,1.255,445.327,118.757,1286.477,1.255,NaN,5869.000
42.333,49.876,-144.488,1827.270,6.962,7.545,32.359,NaN,-5.911,NaN,367.485,1.185,1275.544,1.260,441.980,117.941,1288.133,1.260,NaN,5870.000
42.335,49.878,-144.495,1827.800,6.961,7.546,32.360,NaN,-6.996,NaN,367.082,1.184,1285.929,1.273,441.392,117.850,1298.535,1.273,NaN,5871.000
42.336,49.879,-144.501,1828.322,6.969,7.547,32.359,-0.699,-5.264,NaN,373.962,1.206,1290.926,1.273,449.886,119.973,1303.547,1.273,NaN,5872.000
42.338,49.881,-144.507,1828.848,6.967,7.546,32.358,-0.701,-4.506,NaN,375.366,1.211,1287.444,1.268,451.504,120.516,1300.079,1.268,NaN,5873.000
42.339,49.883,-144.512,1829.352,6.965,7.546,32.357,-0.909,-3.380,NaN,378.281,1.220,1285.292,1.263,455.120,121.109,1297.940,1.263,NaN,5874.000
42.340,49.884,-144.519,1829.873,6.960,7.544,32.359,-1.016,-5.293,NaN,373.071,1.203,1287.902,1.270,448.724,119.653,1300.561,1.270,NaN,5875.000
42.342,49.886,-144.525,1830.383,6.957,7.541,32.358,-1.107,-4.710,NaN,376.513,1.214,1293.287,1.274,452.909,120.689,1305.956,1.274,NaN,5876.000
42.343,49.888,-144.530,1830.902,6.952,7.538,32.359,-1.276,-4.336,NaN,377.706,1.218,1293.216,1.273,454.315,121.148,1305.892,1.273,NaN,5877.000
42.344,49.889,-144.536,1831.414,6.949,7.534,32.358,-1.258,-3.061,NaN,380.580,1.227,1289.280,1.266,457.837,122.071,1301.962,1.266,NaN,5878.000
42.346,49.891,-144.542,1831.950,6.946,7.529,32.361,-1.264,-2.844,NaN,380.008,1.225,1285.023,1.261,457.107,121.715,1297.709,1.261,NaN,5879.000
42.347,49.892,-144.548,1832.474,6.939,7.524,32.362,-1.299,-4.373,NaN,374.534,1.207,1282.467,1.262,450.472,119.938,1295.156,1.262,NaN,5880.000
42.349,49.894,-144.555,1832.999,6.934,7.518,32.366,-1.361,-3.431,NaN,375.539,1.210,1275.794,1.253,451.673,119.977,1288.485,1.253,NaN,5881.000
42.350,49.896,-144.561,1833.529,6.926,7.512,32.367,-1.402,-5.057,NaN,370.994,1.195,1277.313,1.259,446.101,118.831,1290.006,1.259,NaN,5882.000
42.351,49.898,-144.566,1833.997,6.922,7.508,32.367,-1.422,-5.264,NaN,372.031,1.199,1282.991,1.265,447.321,119.196,1295.685,1.265,NaN,5883.000
42.353,49.899,-144.572,1834.496,6.918,7.503,32.367,-1.447,-4.181,NaN,375.450,1.210,1282.919,1.262,451.589,119.832,1295.613,1.262,NaN,5884.000
42.354,49.901,-144.578,1834.982,6.913,7.499,32.368,-1.418,-3.958,NaN,374.973,1.208,1278.768,1.258,450.992,119.851,1291.464,1.258,NaN,5885.000
42.356,49.903,-144.583,1835.485,6.908,7.494,32.369,-1.375,-3.361,NaN,374.925,1.208,1272.168,1.250,450.870,119.883,1284.865,1.250,NaN,5886.000
42.357,49.904,-144.589,1835.991,6.910,7.490,32.370,-1.368,-5.872,NaN,369.346,1.190,1279.898,1.264,444.132,118.419,1292.596,1.264,NaN,5887.000
42.358,49.906,-144.595,1836.516,6.907,7.488,32.368,-1.383,-5.616,NaN,370.605,1.194,1281.345,1.265,445.652,118.990,1294.045,1.265,NaN,5888.000
42.360,49.908,-144.601,1837.023,6.900,7.486,32.367,-1.309,-2.951,NaN,374.629,1.207,1266.620,1.243,450.611,120.135,1279.322,1.243,NaN,5889.000
42.361,49.909,-144.607,1837.526,6.897,7.482,32.371,-1.202,-3.725,NaN,369.131,1.189,1255.959,1.235,443.927,118.352,1268.662,1.235,NaN,5890.000
42.363,49.911,-144.613,1838.043,6.896,7.480,32.373,-1.273,-7.439,NaN,361.967,1.166,1270.885,1.259,435.161,116.074,1283.589,1.259,NaN,5891.000
42.364,49.913,-144.619,1838.546,6.893,7.478,32.373,-1.386,-6.493,NaN,367.220,1.183,1278.673,1.265,441.716,117.795,1291.378,1.265,NaN,5892.000
42.365,49.914,-144.625,1839.040,6.893,7.478,32.370,-1.504,-2.646,NaN,373.122,1.202,1258.068,1.234,448.932,119.685,1270.774,1.234,NaN,5893.000
42.367,49.916,-144.630,1839.522,6.895,7.477,32.372,-1.486,-3.507,NaN,366.821,1.181,1245.710,1.224,441.293,117.648,1258.417,1.224,NaN,5894.000
42.368,49.918,-144.637,1840.048,6.892,7.478,32.375,-1.609,-6.695,NaN,356.991,1.150,1245.262,1.232,429.312,114.456,1257.971,1.232,NaN,5895.000
42.369,49.919,-144.642,1840.520,6.900,7.480,32.376,-1.647,-7.188,NaN,356.609,1.149,1249.407,1.238,428.652,114.292,1262.117,1.238,NaN,5896.000
42.371,49.921,-144.648,1841.006,6.900,7.481,32.376,-1.659,-6.116,NaN,358.980,1.156,1246.201,1.232,431.429,114.939,1258.912,1.232,NaN,5897.000
42.372,49.923,-144.654,1841.512,6.898,7.483,32.376,-1.616,-5.527,NaN,358.412,1.154,1237.979,1.222,430.659,114.760,1250.692,1.222,NaN,5898.000
42.374,49.924,-144.660,1842.021,6.903,7.484,32.377,-1.641,-7.568,NaN,353.546,1.139,1242.870,1.232,424.698,113.406,1255.586,1.232,NaN,5899.000
42.375,49.926,-144.666,1842.554,6.902,7.488,32.378,-1.537,-7.398,NaN,355.737,1.146,1248.692,1.237,427.367,114.000,1261.411,1.237,NaN,5900.000
42.376,49.928,-144.672,1843.053,6.904,7.491,32.377,-1.440,-6.273,NaN,359.104,1.157,1248.422,1.234,431.520,114.792,1261.144,1.234,NaN,5901.000
42.378,49.929,-144.678,1843.546,6.912,7.494,32.376,-1.288,-6.741,NaN,359.335,1.158,1254.478,1.241,431.746,114.943,1267.204,1.241,NaN,5902.000
42.379,49.930,-144.684,1844.047,6.914,7.497,32.376,-1.303,-7.660,NaN,360.864,1.163,1269.880,1.259,433.621,115.492,1282.611,1.259,NaN,5903.000
42.381,49.932,-144.690,1844.575,6.916,7.499,32.376,-1.441,-6.687,NaN,365.707,1.178,1276.193,1.263,439.656,117.120,1288.930,1.263,NaN,5904.000
42.382,49.933,-144.696,1845.066,6.913,7.501,32.373,-1.418,-3.786,NaN,373.655,1.204,1272.314,1.251,449.659,119.546,1285.059,1.251,NaN,5905.000
42.383,49.934,-144.702,1845.561,6.913,7.503,32.372,-1.326,-3.381,NaN,372.704,1.201,1264.866,1.243,448.350,119.388,1277.618,1.243,NaN,5906.000
42.385,49.936,-144.708,1846.067,6.916,7.506,32.374,-1.344,-5.559,NaN,367.328,1.184,1269.678,1.253,441.689,117.944,1282.438,1.253,NaN,5907.000
42.386,49.937,-144.714,1846.587,6.928,7.512,32.374,-1.352,-5.967,NaN,367.596,1.185,1275.347,1.260,441.970,118.119,1288.115,1.260,NaN,5908.000
42.387,49.938,-144.720,1847.049,6.940,7.521,32.374,-1.292,-4.001,NaN,372.148,1.200,1270.295,1.250,447.557,119.449,1283.071,1.250,NaN,5909.000
42.389,49.939,-144.726,1847.521,6.949,7.529,32.374,-1.303,-3.803,NaN,370.511,1.195,1262.920,1.242,445.496,118.909,1275.704,1.242,NaN,5910.000
42.390,49.941,-144.733,1848.043,6.947,7.533,32.374,-1.284,-5.946,NaN,366.017,1.180,1270.148,1.255,439.960,117.445,1282.941,1.255,NaN,5911.000
42.392,49.942,-144.739,1848.555,6.943,7.534,32.371,-1.298,-4.386,NaN,367.398,1.185,1258.173,1.239,441.726,117.521,1270.975,1.239,NaN,5912.000
42.393,49.943,-144.745,1849.045,6.944,7.533,32.373,-1.158,-4.315,NaN,365.064,1.177,1249.469,1.230,438.901,116.826,1262.279,1.230,NaN,5913.000
42.394,49.944,-144.751,1849.549,6.942,7.530,32.374,-1.096,-6.911,NaN,358.888,1.157,1255.536,1.243,431.334,114.935,1268.354,1.243,NaN,5914.000
42.396,49.946,-144.757,1850.045,6.939,7.526,32.373,NaN,-6.093,NaN,361.447,1.165,1255.497,1.241,434.443,115.729,1268.322,1.241,NaN,5915.000
42.397,49.947,-144.764,1850.535,6.931,7.522,32.373,NaN,-4.638,NaN,363.362,1.171,1246.475,1.228,436.751,116.341,1259.305,1.228,NaN,5916.000
42.399,49.948,-144.770,1851.034,6.926,7.517,32.376,-0.373,-4.117,NaN,359.987,1.160,1229.428,1.210,432.604,115.283,1242.262,1.210,NaN,5917.000
42.400,49.949,-144.776,1851.561,6.921,7.509,32.378,-0.346,-6.870,NaN,352.360,1.136,1231.595,1.219,423.344,112.860,1244.432,1.219,NaN,5918.000
42.401,49.950,-144.783,1852.083,6.910,7.501,32.379,-0.374,-8.459,NaN,349.719,1.127,1239.050,1.231,420.043,111.993,1251.887,1.231,NaN,5919.000
42.403,49.952,-144.789,1852.587,6.903,7.492,32.380,-0.470,-5.455,NaN,355.908,1.147,1228.493,1.213,427.761,113.815,1241.330,1.213,NaN,5920.000
42.404,49.953,-144.796,1853.127,6.886,7.483,32.381,-0.457,-6.293,NaN,352.099,1.134,1223.580,1.210,423.030,112.655,1236.415,1.210,NaN,5921.000
42.406,49.954,-144.803,1853.665,6.872,7.473,32.382,-0.499,-7.199,NaN,349.252,1.124,1222.804,1.212,419.472,111.727,1235.635,1.212,NaN,5922.000
42.407,49.955,-144.809,1854.186,6.863,7.463,32.384,-0.498,-8.102,NaN,348.760,1.123,1230.417,1.222,418.871,111.453,1243.241,1.222,NaN,5923.000
42.408,49.957,-144.816,1854.709,6.854,7.454,32.385,-0.513,-7.090,NaN,352.467,1.134,1232.350,1.221,423.479,112.307,1245.166,1.221,NaN,5924.000
42.410,49.958,-144.822,1855.259,6.845,7.447,32.386,-0.566,-7.009,NaN,353.087,1.136,1233.409,1.222,424.192,112.760,1246.213,1.222,NaN,5925.000
42.411,49.959,-144.829,1855.768,6.839,7.442,32.387,-0.681,-6.741,NaN,353.818,1.138,1232.931,1.221,425.072,112.990,1245.723,1.221,NaN,5926.000
42.412,49.961,-144.835,1856.267,6.842,7.438,32.387,-0.794,-7.074,NaN,353.489,1.137,1235.417,1.224,424.636,112.976,1248.194,1.224,NaN,5927.000
42.414,49.962,-144.841,1856.788,6.843,7.435,32.386,-0.808,-6.121,NaN,354.912,1.142,1230.369,1.216,426.411,113.446,1243.131,1.216,NaN,5928.000
42.415,49.964,-144.848,1857.344,6.841,7.431,32.387,-0.738,-6.964,NaN,352.354,1.134,1230.338,1.218,423.304,112.852,1243.083,1.218,NaN,5929.000
42.417,49.965,-144.854,1857.852,6.838,7.426,32.388,-0.690,-7.324,NaN,352.214,1.133,1233.576,1.223,423.102,112.744,1246.303,1.223,NaN,5930.000
42.418,49.967,-144.860,1858.360,6.835,7.421,32.390,-0.737,-8.578,NaN,352.443,1.134,1247.820,1.240,423.392,112.781,1260.528,1.240,NaN,5931.000
42.419,49.968,-144.866,1858.871,6.832,7.416,32.390,-0.827,-5.860,NaN,358.769,1.154,1240.559,1.226,431.334,114.700,1253.247,1.226,NaN,5932.000
42.421,49.970,-144.873,1859.407,6.831,7.409,32.391,-0.751,-3.901,NaN,359.866,1.158,1224.005,1.205,432.735,114.967,1236.674,1.205,NaN,5933.000
42.422,49.971,-144.879,1859.946,6.823,7.402,32.392,-0.603,-5.830,NaN,351.636,1.131,1215.348,1.201,422.712,112.359,1227.998,1.201,NaN,5934.000
42.424,49.973,-144.886,1860.504,6.830,7.404,32.390,-0.556,-6.932,NaN,346.081,1.113,1207.661,1.196,415.797,110.560,1220.293,1.196,NaN,5935.000
42.425,49.974,-144.892,1861.027,6.851,7.416,32.388,-0.546,-7.843,NaN,341.886,1.100,1203.078,1.194,410.529,109.224,1215.693,1.194,NaN,5936.000
42.426,49.976,-144.899,1861.573,6.870,7.431,32.387,-0.529,-8.052,NaN,339.123,1.092,1196.076,1.187,407.043,108.333,1208.676,1.187,NaN,5937.000
42.428,49.977,-144.905,1862.089,6.881,7.444,32.386,-0.503,-8.770,NaN,335.925,1.082,1192.582,1.186,403.075,107.331,1205.169,1.186,NaN,5938.000
42.429,49.979,-144.911,1862.638,6.883,7.451,32.385,-0.453,-10.159,NaN,333.965,1.075,1200.354,1.197,400.622,106.702,1212.932,1.197,NaN,5939.000
42.431,49.980,-144.918,1863.157,6.887,7.456,32.384,-0.455,-11.041,NaN,335.347,1.080,1215.004,1.214,402.331,107.183,1227.575,1.214,NaN,5940.000
42.432,49.982,-144.924,1863.659,6.894,7.462,32.382,-0.550,-8.568,NaN,344.355,1.109,1220.437,1.213,413.650,110.194,1233.003,1.213,NaN,5941.000
42.433,49.983,-144.930,1864.191,6.894,7.464,32.381,-0.544,-6.777,NaN,347.544,1.120,1212.665,1.201,417.483,111.270,1225.228,1.201,NaN,5942.000
42.435,49.986,-144.936,1864.730,6.893,7.463,32.380,-0.506,-6.599,NaN,346.440,1.116,1206.932,1.195,416.089,110.877,1219.495,1.195,NaN,5943.000
42.436,49.987,-144.942,1865.262,6.890,7.456,32.380,-0.444,-7.632,NaN,342.271,1.102,1203.056,1.194,410.957,109.494,1215.622,1.194,NaN,5944.000
42.438,49.989,-144.948,1865.794,6.876,7.448,32.381,-0.452,-7.685,NaN,341.216,1.099,1199.543,1.190,409.593,109.078,1212.113,1.190,NaN,5945.000
42.439,49.991,-144.954,1866.352,6.859,7.439,32.382,-0.477,-7.872,NaN,339.159,1.092,1193.852,1.185,407.049,108.374,1206.430,1.185,NaN,5946.000
42.440,49.993,-144.960,1866.895,6.843,7.429,32.384,-0.473,-8.532,NaN,336.386,1.082,1190.534,1.183,403.636,107.470,1203.122,1.183,NaN,5947.000
42.442,49.995,-144.967,1867.422,6.836,7.420,32.385,-0.497,-10.078,NaN,334.763,1.077,1200.966,1.198,401.583,106.933,1213.563,1.198,NaN,5948.000
42.443,49.996,-144.973,1867.938,6.834,7.415,32.386,-0.501,-9.868,NaN,335.966,1.081,1202.911,1.199,403.057,107.204,1215.520,1.199,NaN,5949.000
42.444,49.997,-144.979,1868.461,6.837,7.413,32.386,-0.484,-7.427,NaN,341.166,1.098,1195.582,1.186,409.523,108.657,1208.203,1.186,NaN,5950.000
