266.371,49.527,-136.591,2739.900,15.305,15.589,32.280,0.767,0.656,0.951,260.901,1.009,1024.611,1.003,307.711,98.906,1029.833,1.003,8908.000
266.372,49.526,-136.583,2740.520,15.306,15.590,32.280,0.752,0.616,0.911,260.817,1.009,1024.610,1.003,307.612,98.874,1029.831,1.003,8909.000
266.374,49.525,-136.575,2741.159,15.308,15.592,32.280,0.749,0.596,0.891,260.761,1.009,1024.608,1.003,307.553,98.857,1029.830,1.003,8910.000
266.375,49.524,-136.566,2741.809,15.312,15.595,32.280,0.745,0.579,0.906,260.706,1.009,1024.606,1.003,307.499,98.841,1029.828,1.003,8911.000
266.376,49.523,-136.558,2742.457,15.314,15.597,32.280,0.729,0.558,0.885,260.652,1.009,1024.604,1.003,307.434,98.824,1029.826,1.003,8912.000
266.378,49.523,-136.549,2743.094,15.318,15.599,32.280,0.696,0.551,0.878,260.620,1.008,1024.603,1.003,307.390,98.816,1029.825,1.003,8913.000
266.379,49.522,-136.541,2743.748,15.321,15.602,32.280,0.689,0.535,0.861,260.572,1.008,1024.602,1.003,307.377,98.812,1029.824,1.003,8914.000
266.381,49.520,-136.533,2744.374,15.322,15.607,32.281,0.717,0.521,0.847,260.533,1.008,1024.601,1.003,307.343,98.808,1029.821,1.003,8915.000
266.382,49.520,-136.525,2745.009,15.326,15.615,32.281,0.767,0.509,0.835,260.490,1.008,1024.602,1.003,307.312,98.807,1029.820,1.003,8916.000
266.383,49.519,-136.516,2745.651,15.329,15.622,32.281,0.787,0.494,0.819,260.443,1.008,1024.605,1.003,307.266,98.805,1029.819,1.003,8917.000
266.385,49.518,-136.508,2746.288,15.328,15.626,32.280,NaN,0.481,0.806,260.424,1.008,1024.609,1.003,307.215,98.803,1029.817,1.003,8918.000
266.386,49.517,-136.499,2746.927,15.324,15.622,32.280,NaN,0.456,0.770,260.398,1.008,1024.615,1.003,307.160,98.783,1029.816,1.003,8919.000
266.387,49.516,-136.491,2747.545,15.318,15.612,32.280,0.588,0.446,0.760,260.406,1.008,1024.623,1.003,307.117,98.763,1029.814,1.003,8920.000
266.389,49.516,-136.483,2748.186,15.317,15.605,32.280,0.575,0.453,0.767,260.429,1.008,1024.633,1.003,307.180,98.757,1029.813,1.003,8921.000
266.390,49.515,-136.474,2748.836,15.313,15.598,32.281,0.622,0.458,0.772,260.463,1.008,1024.644,1.003,307.267,98.756,1029.812,1.003,8922.000
266.392,49.514,-136.466,2749.452,15.308,15.592,32.282,0.666,0.446,0.760,260.467,1.008,1024.656,1.003,307.241,98.744,1029.811,1.003,8923.000
266.393,49.513,-136.458,2750.086,15.306,15.588,32.283,0.669,0.433,0.747,260.449,1.008,1024.667,1.003,307.195,98.729,1029.809,1.003,8924.000
266.394,49.512,-136.449,2750.737,15.306,15.587,32.284,0.659,0.397,0.710,260.375,1.007,1024.679,1.003,306.940,98.674,1029.806,1.003,8925.000
266.396,49.511,-136.441,2751.354,15.307,15.588,32.285,0.645,0.326,0.639,260.230,1.007,1024.691,1.004,306.620,98.613,1029.806,1.004,8926.000
266.397,49.511,-136.433,2751.992,15.318,15.596,32.288,0.637,0.305,0.617,260.129,1.007,1024.704,1.004,306.617,98.601,1029.805,1.004,8927.000
266.399,49.510,-136.424,2752.662,15.335,15.610,32.291,0.617,0.318,0.630,260.063,1.007,1024.715,1.004,306.594,98.609,1029.803,1.004,8928.000
266.400,49.509,-136.415,2753.308,15.345,15.617,32.290,0.597,0.368,0.680,260.121,1.007,1024.724,1.003,306.781,98.657,1029.802,1.003,8929.000
266.401,49.508,-136.406,2753.972,15.335,15.614,32.288,0.588,0.376,0.688,260.194,1.007,1024.732,1.003,306.927,98.680,1029.801,1.003,8930.000
266.403,49.507,-136.398,2754.624,15.332,15.613,32.291,0.569,0.342,0.654,260.135,1.007,1024.740,1.004,306.764,98.646,1029.800,1.004,8931.000
266.404,49.507,-136.389,2755.281,15.353,15.625,32.297,0.540,0.252,0.563,259.837,1.006,1024.747,1.004,306.334,98.550,1029.798,1.004,8932.000
266.406,49.506,-136.380,2755.930,15.378,15.647,32.303,0.503,0.149,0.459,259.487,1.005,1024.753,1.004,305.892,98.458,1029.797,1.004,8933.000
266.407,49.505,-136.372,2756.588,15.401,15.668,32.308,0.478,0.085,0.393,259.230,1.005,1024.758,1.004,305.572,98.400,1029.796,1.004,8934.000
266.408,49.504,-136.363,2757.239,15.423,15.688,32.313,0.433,0.039,0.347,259.017,1.005,1024.761,1.004,305.319,98.359,1029.795,1.004,8935.000
266.410,49.504,-136.355,2757.885,15.441,15.705,32.315,0.395,0.018,0.326,258.877,1.004,1024.763,1.004,305.186,98.343,1029.794,1.004,8936.000
266.411,49.503,-136.346,2758.530,15.448,15.714,32.316,0.381,0.008,0.315,258.820,1.004,1024.763,1.004,305.102,98.340,1029.793,1.004,8937.000
266.412,49.502,-136.338,2759.170,15.452,15.719,32.316,0.366,0.014,0.321,258.813,1.004,1024.762,1.004,305.110,98.349,1029.791,1.004,8938.000
266.414,49.501,-136.329,2759.829,15.455,15.723,32.317,0.363,0.017,0.324,258.802,1.004,1024.759,1.004,305.138,98.354,1029.790,1.004,8939.000
266.415,49.500,-136.321,2760.483,15.459,15.726,32.317,0.386,0.021,0.327,258.789,1.004,1024.754,1.004,305.129,98.355,1029.789,1.004,8940.000
266.417,49.499,-136.312,2761.139,15.462,15.730,32.318,0.413,0.015,0.332,258.756,1.004,1024.747,1.004,305.075,98.349,1029.789,1.004,8941.000
266.418,49.499,-136.303,2761.788,15.468,15.735,32.320,0.423,0.016,0.333,258.722,1.004,1024.739,1.004,304.998,98.346,1029.788,1.004,8942.000
266.419,49.498,-136.294,2762.452,15.475,15.741,32.320,0.427,0.026,0.343,258.703,1.004,1024.729,1.004,304.994,98.352,1029.786,1.004,8943.000
266.421,49.497,-136.286,2763.108,15.476,15.744,32.319,0.462,0.025,0.342,258.695,1.004,1024.718,1.004,305.028,98.361,1029.785,1.004,8944.000
266.422,49.496,-136.277,2763.779,15.475,15.747,32.318,0.476,0.058,0.375,258.766,1.005,1024.707,1.004,305.165,98.400,1029.784,1.004,8945.000
266.424,49.495,-136.268,2764.443,15.470,15.749,32.316,0.531,0.094,0.411,258.868,1.005,1024.695,1.004,305.321,98.448,1029.784,1.004,8946.000
266.425,49.494,-136.260,2765.109,15.454,15.746,32.313,0.562,0.109,0.426,258.984,1.005,1024.684,1.004,305.504,98.492,1029.783,1.004,8947.000
266.426,49.493,-136.251,2765.775,15.446,15.741,32.311,0.567,0.144,0.461,259.096,1.005,1024.674,1.004,305.620,98.524,1029.782,1.004,8948.000
266.428,49.493,-136.242,2766.446,15.427,15.726,32.305,0.567,0.181,0.509,259.277,1.006,1024.666,1.004,305.852,98.566,1029.781,1.004,8949.000
266.429,49.492,-136.233,2767.132,15.406,15.703,32.297,0.566,0.247,0.575,259.531,1.006,1024.660,1.004,306.174,98.615,1029.780,1.004,8950.000
266.431,49.491,-136.224,2767.814,15.388,15.679,32.292,0.602,0.304,0.632,259.748,1.007,1024.657,1.004,306.420,98.649,1029.779,1.004,8951.000
266.432,49.490,-136.215,2768.493,15.368,15.656,32.290,0.630,0.341,0.669,259.927,1.007,1024.654,1.004,306.669,98.673,1029.779,1.004,8952.000
266.433,49.489,-136.206,2769.182,15.348,15.635,32.288,0.646,0.364,0.693,260.081,1.007,1024.652,1.003,306.802,98.688,1029.778,1.003,8953.000
266.435,49.488,-136.197,2769.849,15.334,15.618,32.286,0.652,0.380,0.709,260.191,1.007,1024.650,1.003,306.939,98.695,1029.777,1.003,8954.000
266.436,49.487,-136.188,2770.526,15.321,15.606,32.285,0.659,0.407,0.736,260.311,1.007,1024.649,1.003,306.888,98.684,1029.776,1.003,8955.000
266.438,49.486,-136.179,2771.218,15.313,15.598,32.283,0.633,0.395,0.724,260.332,1.007,1024.649,1.003,306.713,98.671,1029.776,1.003,8956.000
266.439,49.485,-136.170,2771.918,15.310,15.593,32.282,0.618,0.373,0.701,260.305,1.007,1024.649,1.003,306.880,98.667,1029.775,1.003,8957.000
266.440,49.484,-136.161,2772.608,15.309,15.590,32.282,0.612,0.383,0.711,260.332,1.007,1024.650,1.003,307.022,98.679,1029.775,1.003,8958.000
266.442,49.483,-136.152,2773.280,15.305,15.587,32.283,0.610,0.368,0.696,260.320,1.007,1024.650,1.003,307.047,98.673,1029.774,1.003,8959.000
266.443,49.482,-136.143,2773.968,15.304,15.585,32.285,0.616,0.349,0.676,260.284,1.007,1024.651,1.004,306.955,98.655,1029.773,1.004,8960.000
266.444,49.481,-136.134,2774.650,15.308,15.588,32.286,0.633,0.339,0.667,260.241,1.007,1024.653,1.004,306.898,98.642,1029.773,1.004,8961.000
266.446,49.480,-136.125,2775.333,15.317,15.596,32.288,0.620,0.284,0.611,260.080,1.007,1024.656,1.004,306.629,98.585,1029.772,1.004,8962.000
266.447,49.479,-136.117,2776.003,15.344,15.616,32.292,0.568,0.227,0.553,259.820,1.006,1024.660,1.004,306.270,98.521,1029.772,1.004,8963.000
266.449,49.478,-136.107,2776.686,15.367,15.637,32.294,0.526,0.181,0.507,259.603,1.006,1024.666,1.004,306.046,98.481,1029.771,1.004,8964.000
266.450,49.477,-136.099,2777.367,15.377,15.647,32.294,0.465,0.139,0.463,259.467,1.005,1024.672,1.004,305.953,98.451,1029.771,1.004,8965.000
266.451,49.476,-136.090,2778.051,15.386,15.660,32.302,0.368,-0.100,0.224,258.918,1.004,1024.679,1.005,305.172,98.250,1029.770,1.005,8966.000
266.453,49.475,-136.081,2778.718,15.420,15.684,32.306,0.255,-0.225,0.098,258.483,1.003,1024.686,1.005,304.647,98.131,1029.770,1.005,8967.000
266.454,49.474,-136.072,2779.408,15.437,15.702,32.309,0.210,-0.300,0.022,258.239,1.002,1024.693,1.005,304.359,98.073,1029.770,1.005,8968.000
266.456,49.473,-136.063,2780.106,15.446,15.711,32.309,0.224,-0.280,0.041,258.234,1.002,1024.698,1.005,304.423,98.102,1029.769,1.005,8969.000
266.457,49.472,-136.054,2780.803,15.437,15.706,32.303,0.331,-0.166,0.156,258.527,1.003,1024.702,1.005,304.875,98.219,1029.769,1.005,8970.000
266.458,49.471,-136.045,2781.453,15.408,15.684,32.295,0.436,-0.039,0.284,258.951,1.004,1024.705,1.004,305.438,98.346,1029.769,1.004,8971.000
266.460,49.470,-136.036,2782.134,15.377,15.659,32.291,0.557,0.081,0.404,259.361,1.005,1024.708,1.004,305.918,98.452,1029.768,1.004,8972.000
266.461,49.469,-136.028,2782.810,15.360,15.642,32.290,0.626,0.168,0.492,259.628,1.006,1024.710,1.004,306.209,98.518,1029.768,1.004,8973.000
266.463,49.468,-136.018,2783.504,15.353,15.633,32.290,0.692,0.256,0.581,259.846,1.006,1024.713,1.004,306.503,98.591,1029.768,1.004,8974.000
266.464,49.467,-136.010,2784.175,15.348,15.629,32.290,0.743,0.343,0.668,260.052,1.007,1024.717,1.004,306.788,98.669,1029.768,1.004,8975.000
266.465,49.466,-136.001,2784.851,15.339,15.628,32.288,0.765,0.412,0.737,260.241,1.008,1024.720,1.004,307.052,98.746,1029.768,1.004,8976.000
266.467,49.465,-135.992,2785.527,15.326,15.624,32.286,NaN,0.489,0.837,260.471,1.008,1024.724,1.003,307.348,98.830,1029.767,1.003,8977.000
266.468,49.464,-135.983,2786.200,15.319,15.620,32.283,NaN,0.586,0.935,260.714,1.009,1024.729,1.003,307.669,98.914,1029.767,1.003,8978.000
266.469,49.464,-135.975,2786.863,15.319,15.616,32.282,NaN,0.668,1.017,260.884,1.010,1024.737,1.003,307.849,98.966,1029.767,1.003,8979.000
266.471,49.463,-135.966,2787.545,15.325,15.614,32.281,0.910,0.684,1.033,260.890,1.010,1024.746,1.003,307.750,98.955,1029.767,1.003,8980.000
266.472,49.462,-135.957,2788.231,15.347,15.625,32.284,0.843,0.579,0.927,260.568,1.009,1024.774,1.003,307.196,98.829,1029.785,1.003,8981.000
266.474,49.461,-135.948,2788.895,15.396,15.662,32.295,0.758,0.319,0.665,259.774,1.007,1024.818,1.004,306.113,98.578,1029.819,1.004,8982.000
266.475,49.460,-135.939,2789.573,15.456,15.708,32.302,0.690,0.192,0.536,259.188,1.006,1024.799,1.004,305.410,98.445,1029.790,1.004,8983.000
266.476,49.459,-135.930,2790.235,15.489,15.742,32.305,0.629,0.127,0.470,258.844,1.005,1024.648,1.004,305.094,98.390,1029.631,1.004,8984.000
266.478,49.458,-135.921,2790.908,15.501,15.758,32.306,0.619,0.127,0.471,258.709,1.005,1024.358,1.004,304.805,98.372,1029.336,1.004,8985.000
266.479,49.457,-135.913,2791.574,15.499,15.760,32.307,0.603,0.120,0.464,258.683,1.005,1024.282,1.004,304.561,98.363,1029.256,1.004,8986.000
266.481,49.456,-135.904,2792.242,15.489,15.754,32.306,0.590,0.137,0.480,258.787,1.005,1024.363,1.004,304.963,98.403,1029.335,1.004,8987.000
266.482,49.456,-135.895,2792.897,15.477,15.745,32.306,0.555,0.143,0.487,258.863,1.005,1024.363,1.004,305.189,98.420,1029.334,1.004,8988.000
266.483,49.455,-135.886,2793.574,15.468,15.738,32.306,0.530,0.101,0.444,258.825,1.005,1024.362,1.004,305.155,98.389,1029.335,1.004,8989.000
266.485,49.454,-135.877,2794.219,15.465,15.735,32.307,0.503,0.041,0.384,258.717,1.004,1024.378,1.004,305.007,98.340,1029.353,1.004,8990.000
266.486,49.453,-135.869,2794.895,15.469,15.738,32.309,0.498,0.016,0.359,258.621,1.004,1024.288,1.004,304.806,98.304,1029.265,1.004,8991.000
266.488,49.453,-135.860,2795.554,15.476,15.743,32.310,0.491,-0.007,0.335,258.547,1.004,1024.323,1.004,304.728,98.288,1029.304,1.004,8992.000
266.489,49.452,-135.851,2796.197,15.478,15.745,32.310,0.517,0.029,0.372,258.636,1.004,1024.422,1.004,304.901,98.330,1029.407,1.004,8993.000
266.490,49.451,-135.842,2796.855,15.469,15.740,32.310,0.559,0.088,0.431,258.834,1.005,1024.555,1.004,305.209,98.405,1029.546,1.004,8994.000
266.492,49.450,-135.834,2797.517,15.456,15.728,32.310,0.591,0.114,0.458,258.994,1.005,1024.692,1.004,305.476,98.450,1029.689,1.004,8995.000
266.493,49.449,-135.825,2798.200,15.438,15.713,32.311,0.587,0.018,0.361,258.915,1.005,1024.800,1.005,305.355,98.389,1029.803,1.005,8996.000
266.494,49.448,-135.816,2798.873,15.426,15.703,32.312,0.530,-0.126,0.217,258.644,1.003,1024.665,1.005,304.966,98.254,1029.675,1.005,8997.000
266.496,49.446,-135.808,2799.557,15.427,15.701,32.313,0.455,-0.181,0.162,258.506,1.003,1024.590,1.005,304.751,98.190,1029.606,1.005,8998.000
266.497,49.445,-135.799,2800.253,15.432,15.704,32.313,0.378,-0.201,0.142,258.420,1.003,1024.526,1.005,304.653,98.162,1029.550,1.005,8999.000
266.499,49.443,-135.790,2800.922,15.436,15.707,32.312,0.335,-0.213,0.129,258.366,1.003,1024.484,1.005,304.607,98.149,1029.518,1.005,9000.000
266.500,49.441,-135.782,2801.609,15.435,15.706,32.311,0.305,-0.221,0.123,258.356,1.002,1024.475,1.005,304.596,98.145,1029.519,1.005,9001.000
266.501,49.439,-135.773,2802.317,15.429,15.702,32.310,0.282,-0.231,0.113,258.331,1.002,1024.334,1.005,304.559,98.128,1029.390,1.005,9002.000
266.503,49.438,-135.765,2802.999,15.423,15.696,32.310,0.259,-0.265,0.078,258.365,1.002,1024.629,1.005,304.609,98.132,1029.696,1.005,9003.000
266.504,49.436,-135.756,2803.669,15.412,15.687,32.309,0.267,-0.324,0.020,258.455,1.002,1025.229,1.006,304.778,98.155,1030.309,1.006,9004.000
266.506,49.434,-135.748,2804.363,15.400,15.678,32.309,0.330,-0.262,0.079,258.589,1.003,1025.016,1.005,305.005,98.197,1030.107,1.005,9005.000
266.507,49.432,-135.739,2805.025,15.386,15.671,32.309,0.379,-0.132,0.211,258.797,1.003,1024.504,1.005,305.302,98.271,1029.605,1.005,9006.000
266.508,49.431,-135.731,2805.712,15.368,15.662,32.309,0.396,-0.040,0.303,259.006,1.004,1024.216,1.004,305.598,98.340,1029.325,1.004,9007.000
266.510,49.429,-135.722,2806.393,15.353,15.653,32.309,0.401,0.007,0.351,259.176,1.004,1024.206,1.004,305.842,98.390,1029.321,1.004,9008.000
266.511,49.427,-135.714,2807.079,15.336,15.640,32.308,0.395,0.021,0.364,259.298,1.004,1024.217,1.004,305.997,98.413,1029.336,1.004,9009.000
266.512,49.425,-135.706,2807.739,15.321,15.619,32.307,0.387,0.053,0.397,259.453,1.004,1024.260,1.004,306.093,98.426,1029.380,1.004,9010.000
266.514,49.424,-135.697,2808.412,15.314,15.603,32.307,0.397,0.090,0.435,259.573,1.005,1024.288,1.004,306.186,98.436,1029.407,1.004,9011.000
266.515,49.422,-135.690,2809.056,15.312,15.595,32.308,0.409,0.146,0.491,259.676,1.005,1024.212,1.004,306.280,98.452,1029.327,1.004,9012.000
266.517,49.420,-135.681,2809.729,15.316,15.594,32.309,0.427,0.183,0.528,259.732,1.005,1024.223,1.004,306.341,98.469,1029.334,1.004,9013.000
266.518,49.419,-135.673,2810.388,15.324,15.598,32.310,0.452,0.232,0.577,259.741,1.006,1024.023,1.003,306.324,98.478,1029.130,1.003,9014.000
266.519,49.417,-135.665,2811.045,15.334,15.606,32.311,0.484,0.284,0.630,259.707,1.006,1023.690,1.003,306.087,98.479,1028.791,1.003,9015.000
266.521,49.416,-135.656,2811.721,15.342,15.613,32.311,0.533,0.236,0.581,259.556,1.005,1023.645,1.003,305.749,98.425,1028.740,1.003,9016.000
266.522,49.414,-135.648,2812.382,15.344,15.616,32.311,0.545,0.241,0.586,259.554,1.005,1023.629,1.003,305.952,98.439,1028.718,1.003,9017.000
266.524,49.412,-135.640,2813.040,15.341,15.614,32.310,0.577,0.276,0.621,259.642,1.006,1023.633,1.003,306.170,98.476,1028.716,1.003,9018.000
266.525,49.411,-135.631,2813.704,15.335,15.610,32.309,0.603,0.299,0.644,259.725,1.006,1023.654,1.003,306.358,98.503,1028.733,1.003,9019.000
266.526,49.409,-135.623,2814.373,15.331,15.606,32.309,0.621,0.332,0.678,259.824,1.006,1023.696,1.003,306.468,98.534,1028.770,1.003,9020.000
266.528,49.407,-135.615,2815.021,15.327,15.603,32.309,0.663,0.364,0.709,259.903,1.006,1023.668,1.003,306.577,98.559,1028.737,1.003,9021.000
266.529,49.406,-135.607,2815.689,15.325,15.602,32.308,0.673,0.379,0.725,259.940,1.006,1023.640,1.003,306.627,98.570,1028.704,1.003,9022.000
266.531,49.404,-135.599,2816.347,15.324,15.600,32.307,0.673,0.373,0.719,259.945,1.006,1023.682,1.003,306.629,98.568,1028.741,1.003,9023.000
266.532,49.403,-135.590,2817.003,15.323,15.598,32.306,0.666,0.356,0.701,259.928,1.006,1023.725,1.003,306.585,98.557,1028.778,1.003,9024.000
266.533,49.401,-135.582,2817.664,15.322,15.597,32.305,0.661,0.329,0.675,259.886,1.006,1023.741,1.003,306.524,98.536,1028.787,1.003,9025.000
266.535,49.399,-135.574,2818.322,15.323,15.597,32.303,0.648,0.275,0.621,259.829,1.006,1023.962,1.003,306.399,98.512,1029.002,1.003,9026.000
266.536,49.398,-135.565,2819.001,15.323,15.598,32.302,0.621,0.250,0.595,259.784,1.006,1023.988,1.003,306.340,98.496,1029.021,1.003,9027.000
266.537,49.396,-135.557,2819.661,15.325,15.601,32.301,0.642,0.214,0.559,259.749,1.006,1024.160,1.003,306.307,98.485,1029.187,1.003,9028.000
266.539,49.394,-135.549,2820.334,15.328,15.602,32.300,0.631,0.185,0.530,259.711,1.005,1024.290,1.004,306.294,98.474,1029.310,1.004,9029.000
266.540,49.393,-135.540,2821.012,15.329,15.603,32.298,0.614,0.142,0.487,259.622,1.005,1024.297,1.004,306.196,98.439,1029.312,1.004,9030.000
266.542,49.391,-135.532,2821.674,15.329,15.604,32.292,0.570,0.064,0.408,259.474,1.004,1024.311,1.004,305.796,98.377,1029.323,1.004,9031.000
266.543,49.389,-135.524,2822.354,15.340,15.611,32.287,0.510,-0.061,0.282,259.242,1.004,1024.609,1.004,305.530,98.290,1029.617,1.004,9032.000
266.544,49.388,-135.515,2823.013,15.356,15.623,32.283,0.453,-0.046,0.297,259.226,1.004,1024.724,1.004,305.588,98.307,1029.730,1.004,9033.000
266.546,49.387,-135.507,2823.677,15.362,15.631,32.282,0.441,-0.066,0.277,259.225,1.004,1024.997,1.005,305.648,98.324,1030.001,1.005,9034.000
266.547,49.386,-135.498,2824.341,15.369,15.637,32.281,0.457,-0.032,0.310,259.237,1.004,1024.889,1.005,305.721,98.347,1029.892,1.005,9035.000
266.549,49.385,-135.489,2824.999,15.375,15.644,32.280,0.473,0.009,0.350,259.248,1.004,1024.729,1.004,305.704,98.360,1029.732,1.004,9036.000
266.550,49.385,-135.481,2825.665,15.382,15.653,32.280,0.503,0.015,0.356,259.215,1.004,1024.687,1.004,305.635,98.362,1029.689,1.004,9037.000
266.551,49.384,-135.472,2826.330,15.386,15.666,32.278,NaN,-0.005,0.336,259.120,1.004,1024.542,1.004,305.551,98.356,1029.544,1.004,9038.000
266.553,49.383,-135.463,2826.989,15.389,15.674,32.277,NaN,-0.008,0.333,259.069,1.004,1024.433,1.004,305.439,98.347,1029.434,1.004,9039.000
266.554,49.382,-135.455,2827.636,15.392,15.676,32.275,0.473,-0.005,0.336,259.035,1.004,1024.314,1.004,305.441,98.344,1029.313,1.004,9040.000
266.556,49.381,-135.446,2828.314,15.399,15.677,32.274,0.461,0.020,0.361,259.031,1.004,1024.237,1.004,305.408,98.337,1029.233,1.004,9041.000
266.557,49.380,-135.437,2828.983,15.406,15.679,32.275,0.441,0.014,0.354,258.999,1.004,1024.310,1.004,305.374,98.325,1029.303,1.004,9042.000
266.558,49.380,-135.429,2829.636,15.410,15.681,32.275,0.436,0.001,0.341,258.930,1.004,1024.228,1.004,305.271,98.302,1029.218,1.004,9043.000
266.560,49.379,-135.420,2830.331,15.412,15.682,32.274,0.420,-0.024,0.316,258.857,1.004,1024.178,1.004,305.180,98.274,1029.165,1.004,9044.000
266.561,49.378,-135.411,2830.972,15.413,15.682,32.274,0.396,-0.031,0.309,258.820,1.003,1024.095,1.004,304.875,98.251,1029.080,1.004,9045.000
266.563,49.377,-135.402,2831.649,15.413,15.682,32.274,0.388,-0.088,0.252,258.694,1.003,1024.061,1.004,304.567,98.195,1029.043,1.004,9046.000
266.564,49.376,-135.393,2832.334,15.411,15.681,32.275,0.388,-0.054,0.287,258.761,1.003,1024.017,1.004,304.893,98.228,1028.998,1.004,9047.000
266.565,49.376,-135.384,2833.003,15.409,15.680,32.276,0.403,-0.003,0.338,258.858,1.004,1023.950,1.004,305.114,98.270,1028.931,1.004,9048.000
266.567,49.374,-135.376,2833.670,15.407,15.678,32.276,0.426,0.031,0.373,258.919,1.004,1023.874,1.003,305.227,98.292,1028.856,1.003,9049.000
266.568,49.374,-135.367,2834.317,15.405,15.676,32.276,0.438,0.061,0.402,258.967,1.004,1023.789,1.003,305.294,98.306,1028.771,1.003,9050.000
266.569,49.373,-135.358,2835.005,15.404,15.675,32.275,0.443,0.076,0.418,258.991,1.004,1023.733,1.003,305.329,98.316,1028.717,1.003,9051.000
266.571,49.372,-135.349,2835.675,15.401,15.672,32.274,0.427,0.086,0.428,259.006,1.004,1023.652,1.003,305.364,98.316,1028.639,1.003,9052.000
266.572,49.371,-135.340,2836.357,15.397,15.669,32.273,0.429,0.080,0.421,259.035,1.004,1023.720,1.003,305.377,98.318,1028.709,1.003,9053.000
266.574,49.370,-135.331,2837.052,15.394,15.667,32.273,0.463,0.070,0.412,259.056,1.004,1023.826,1.003,305.394,98.323,1028.817,1.003,9054.000
266.575,49.369,-135.322,2837.707,15.393,15.665,32.274,0.495,0.085,0.427,259.088,1.004,1023.809,1.003,305.447,98.332,1028.801,1.003,9055.000
266.576,49.368,-135.314,2838.385,15.390,15.663,32.275,0.507,0.087,0.429,259.115,1.004,1023.859,1.003,305.486,98.340,1028.852,1.003,9056.000
266.578,49.367,-135.305,2839.048,15.389,15.662,32.278,0.514,0.110,0.452,259.139,1.004,1023.760,1.003,305.548,98.349,1028.754,1.003,9057.000
266.579,49.366,-135.296,2839.710,15.391,15.663,32.280,0.515,0.095,0.438,259.118,1.004,1023.848,1.003,305.523,98.343,1028.842,1.003,9058.000
266.581,49.365,-135.288,2840.356,15.391,15.663,32.281,0.505,0.056,0.398,259.096,1.004,1024.087,1.004,305.492,98.335,1029.080,1.004,9059.000
266.582,49.365,-135.279,2841.004,15.391,15.662,32.281,0.521,0.019,0.361,259.074,1.004,1024.289,1.004,305.436,98.327,1029.283,1.004,9060.000
266.583,49.364,-135.270,2841.681,15.390,15.662,32.282,0.531,0.012,0.354,259.083,1.004,1024.362,1.004,305.456,98.329,1029.355,1.004,9061.000
266.585,49.364,-135.261,2842.354,15.391,15.663,32.283,0.536,0.006,0.348,259.102,1.004,1024.521,1.004,305.485,98.339,1029.513,1.004,9062.000
266.586,49.363,-135.252,2843.006,15.395,15.667,32.283,0.534,0.020,0.362,259.130,1.004,1024.595,1.004,305.524,98.353,1029.587,1.004,9063.000
266.588,49.363,-135.243,2843.673,15.404,15.674,32.282,0.542,0.026,0.352,259.126,1.004,1024.713,1.004,305.501,98.365,1029.704,1.004,9064.000
266.589,49.362,-135.234,2844.358,15.412,15.681,32.280,0.566,0.032,0.358,259.086,1.004,1024.647,1.004,305.481,98.371,1029.636,1.004,9065.000
266.590,49.362,-135.225,2845.016,15.413,15.688,32.280,0.562,0.028,0.354,259.039,1.004,1024.523,1.004,305.472,98.371,1029.512,1.004,9066.000
266.592,49.361,-135.217,2845.677,15.410,15.693,32.281,0.559,0.007,0.333,258.997,1.004,1024.477,1.004,305.479,98.371,1029.463,1.004,9067.000
266.593,49.361,-135.208,2846.349,15.403,15.694,32.283,0.530,-0.015,0.312,258.967,1.004,1024.403,1.004,305.452,98.362,1029.387,1.004,9068.000
266.594,49.360,-135.199,2847.000,15.408,15.695,32.280,0.501,-0.023,0.304,258.911,1.004,1024.316,1.004,305.303,98.333,1029.294,1.004,9069.000
266.596,49.359,-135.190,2847.647,15.413,15.697,32.276,0.450,-0.055,0.272,258.843,1.004,1024.391,1.004,305.156,98.301,1029.362,1.004,9070.000
266.597,49.359,-135.181,2848.325,15.419,15.697,32.273,0.401,-0.060,0.267,258.785,1.003,1024.307,1.004,305.056,98.275,1029.270,1.004,9071.000
266.599,49.358,-135.173,2848.985,15.424,15.697,32.272,0.382,-0.058,0.269,258.764,1.003,1024.304,1.004,305.016,98.265,1029.257,1.004,9072.000
266.600,49.357,-135.164,2849.634,15.429,15.699,32.272,0.374,-0.044,0.283,258.751,1.003,1024.238,1.004,305.035,98.264,1029.181,1.004,9073.000
266.601,49.356,-135.155,2850.299,15.431,15.700,32.273,0.365,-0.038,0.290,258.740,1.003,1024.201,1.004,305.031,98.263,1029.134,1.004,9074.000
266.603,49.355,-135.147,2850.970,15.434,15.701,32.273,0.336,-0.023,0.305,258.709,1.003,1024.010,1.004,304.780,98.241,1028.932,1.004,9075.000
266.604,49.355,-135.138,2851.630,15.439,15.704,32.273,0.331,-0.081,0.246,258.568,1.003,1024.034,1.004,304.474,98.179,1028.947,1.004,9076.000
266.606,49.354,-135.129,2852.295,15.443,15.707,32.273,0.354,-0.088,0.241,258.525,1.003,1023.991,1.004,304.607,98.180,1028.895,1.004,9077.000
266.607,49.353,-135.120,2852.965,15.451,15.714,32.271,0.363,-0.090,0.240,258.485,1.003,1023.990,1.004,304.683,98.180,1028.886,1.004,9078.000
266.608,49.352,-135.112,2853.622,15.459,15.720,32.268,0.358,-0.079,0.250,258.436,1.003,1023.856,1.004,304.594,98.173,1028.746,1.004,9079.000
